emp_id,full_name,department_code,job_title,base_salary,annual_bonus,years_of_service,hire_year
3001,Casey Patel,D07,Lead,110403,4935,7,2017
3002,Taylor Thompson,D05,Director,167292,28619,17,2007
3003,Reese Costa,D04,Lead,132333,19466,25,1999
3004,Skyler Patel,D04,Mid,75863,3394,18,2006
3005,Alex Park,D02,Lead,115287,1229,17,2007
3006,Quinn Li,D04,Senior,119634,15980,14,2010
3007,Riley Li,D01,Senior,89519,21315,22,2002
3008,Riley Thompson,D03,Principal,156760,1452,0,2024
3009,Dakota Chen,D07,Junior,64781,10235,4,2020
3010,Jordan Santos,D07,Senior,89753,9094,25,1999
3011,Reese Thompson,D08,Senior,104091,21472,4,2020
3012,Casey Park,D01,Mid,83137,14930,24,2000
3013,Finley Nguyen,D02,Junior,49035,3628,5,2019
3014,Cameron Kim,D04,Principal,139444,17400,7,2017
3015,Jordan Johansson,D06,Mid,81556,10219,0,2024
3016,Sage Park,D04,Lead,118762,24416,12,2012
3017,Sage Li,D06,Principal,127952,28135,11,2013
3018,Dakota Kim,D04,Senior,114875,6491,23,2001
3019,Avery Costa,D06,Mid,83804,14907,22,2002
3020,Finley Tanaka,D05,Lead,133563,2675,14,2010
3021,Hayden Nguyen,D02,Principal,138121,23646,10,2014
3022,Riley Ivanov,D05,Lead,139026,14226,21,2003
3023,Rowan Santos,D07,Director,184861,39870,19,2005
3024,Reese Ivanov,D07,Senior,116061,10021,21,2003
3025,Finley Muller,D04,Director,184235,36363,8,2016
3026,Quinn Chen,D07,Senior,107979,97,16,2008
3027,Rowan Santos,D05,Director,202708,50193,16,2008
3028,Dakota Santos,D05,Director,195161,20337,17,2007
3029,Jordan Park,D01,Junior,62272,1176,1,2023
3030,Dakota Santos,D05,Senior,118978,18631,22,2002
3031,Skyler Nguyen,D02,Lead,118734,5113,14,2010
3032,Finley O'Brien,D03,Lead,138452,24043,12,2012
3033,Sage O'Brien,D06,Senior,92266,10683,22,2002
3034,Riley Patel,D08,Principal,168566,37475,15,2009
3035,Hayden Patel,D04,Lead,123973,3560,25,1999
3036,Cameron Chen,D06,Director,188156,26794,17,2007
3037,Sage Kumar,D06,Lead,112984,3845,1,2023
3038,Riley Li,D01,Senior,102896,14283,9,2015
3039,Morgan Thompson,D01,Director,190614,10941,6,2018
3040,Quinn O'Brien,D03,Senior,94642,8640,17,2007
3041,Morgan Nguyen,D06,Director,201617,26963,23,2001
3042,Sage O'Brien,D03,Mid,78064,645,16,2008
3043,Riley Johansson,D06,Director,158277,24068,19,2005
3044,Riley Kim,D01,Senior,113329,12356,9,2015
3045,Avery Costa,D03,Lead,129001,16810,0,2024
3046,Taylor O'Brien,D02,Mid,78627,14408,19,2005
3047,Sage Chen,D03,Lead,117670,9219,1,2023
3048,Dakota Ivanov,D05,Mid,67234,189,9,2015
3049,Riley Johansson,D02,Lead,119954,2168,11,2013
3050,Sage Tanaka,D06,Director,163953,33981,1,2023
3051,Dakota Costa,D04,Principal,130900,22069,24,2000
3052,Finley Kumar,D07,Principal,159567,30905,5,2019
3053,Morgan Park,D04,Mid,80754,3307,18,2006
3054,Riley Ivanov,D01,Principal,171137,35838,4,2020
3055,Alex Kumar,D01,Senior,91413,17464,4,2020
3056,Finley Nguyen,D07,Lead,105108,15456,10,2014
3057,Hayden Santos,D08,Principal,127867,16046,7,2017
3058,Casey Thompson,D02,Lead,127678,28926,5,2019
3059,Taylor Muller,D04,Mid,85823,5504,20,2004
3060,Taylor Muller,D04,Principal,134758,23750,12,2012
3061,Morgan Chen,D05,Senior,111849,9344,6,2018
3062,Dakota O'Brien,D01,Lead,104610,4959,1,2023
3063,Quinn Rossi,D05,Director,159667,23042,9,2015
3064,Cameron Santos,D02,Mid,72794,2589,9,2015
3065,Casey Patel,D08,Junior,64913,441,7,2017
3066,Avery Nguyen,D07,Junior,53657,4265,12,2012
3067,Cameron Patel,D02,Junior,47309,2505,10,2014
3068,Reese Thompson,D01,Lead,106786,11635,22,2002
3069,Cameron Johansson,D07,Principal,167711,32186,20,2004
3070,Avery Tanaka,D06,Junior,52010,3165,1,2023
3071,Avery Santos,D06,Principal,128450,28140,19,2005
3072,Cameron Patel,D08,Director,170959,720,23,2001
3073,Rowan Park,D07,Junior,60950,4301,24,2000
3074,Morgan Ivanov,D06,Principal,173815,26288,17,2007
3075,Hayden Johansson,D07,Mid,65538,15160,14,2010
3076,Casey Park,D02,Director,145680,20508,20,2004
3077,Alex Chen,D04,Lead,139094,22869,18,2006
