walk_in_id,event_code,guest_name,registration_type,fee_paid
90001,8019,Cameron Santos,Standard,185
90002,8007,Alex Nguyen,Standard,180
90003,8020,Skyler Thompson,VIP,404
90004,8002,Rowan Kim,Student,98
90005,8006,Rowan Patel,Student,114
90006,8015,Casey Kim,VIP,401
90007,8005,Hayden Wilson,Standard,179
90008,8016,Reese Santos,Student,102
90009,8018,Taylor Santos,Student,99
90010,8003,Riley Nguyen,VIP,419
90011,8019,Casey Nguyen,Student,115
90012,8013,Jordan Park,Standard,176
90013,8002,Reese Park,VIP,417
90014,8020,Skyler Nguyen,VIP,419
90015,8020,Cameron Wilson,VIP,397
90016,8002,Riley Park,Standard,190
90017,8020,Alex Kumar,Standard,182
90018,8020,Jordan Wilson,Standard,172
90019,8019,Riley Chen,Standard,171
90020,8019,Quinn Santos,VIP,410
90021,8013,Jordan Santos,Student,105
90022,8003,Taylor Li,Standard,186
90023,8011,Finley Santos,Standard,183
90024,8005,Sage Santos,Standard,173
90025,8012,Taylor Park,Standard,193
90026,8007,Skyler Thompson,Student,113
90027,8007,Taylor Wilson,VIP,399
90028,8007,Cameron Kim,VIP,395
90029,8015,Hayden Patel,Student,107
90030,8008,Casey Santos,Standard,189
90031,8011,Cameron Chen,VIP,410
90032,8009,Alex Kumar,Standard,179
90033,8008,Taylor Li,Standard,177
90034,8001,Quinn Chen,Standard,186
90035,8002,Quinn Li,VIP,418
90036,8006,Taylor Kim,Standard,190
90037,8018,Morgan Wilson,VIP,409
90038,8010,Skyler Park,Student,97
90039,8009,Reese Park,Standard,181
90040,8001,Morgan Thompson,Standard,179
90041,8012,Quinn Patel,VIP,402
90042,8015,Morgan Santos,Standard,194
90043,8007,Jordan Nguyen,Student,104
90044,8009,Skyler Park,VIP,399
90045,8006,Rowan Chen,Standard,177
90046,8016,Riley Patel,VIP,406
90047,8010,Dakota Thompson,Standard,175
90048,8004,Finley Santos,VIP,416
90049,8013,Riley Nguyen,VIP,415
90050,8014,Hayden Li,VIP,420
90051,8003,Reese Kim,VIP,409
90052,8011,Cameron Santos,Standard,193
90053,8018,Cameron Patel,Standard,181
90054,8003,Jordan Patel,Student,110
90055,8001,Rowan Chen,Standard,186
90056,8016,Quinn Park,Student,102
90057,8015,Jordan Kumar,Standard,186
90058,8006,Riley Chen,Student,100
90059,8002,Cameron Kim,Student,102
90060,8012,Hayden Park,Standard,185
90061,8012,Hayden Wilson,Student,101
90062,8003,Taylor Kumar,Student,106
90063,8004,Finley Wilson,Student,103
90064,8017,Rowan Patel,Standard,186
90065,8020,Reese Nguyen,Standard,182
90066,8004,Morgan Nguyen,Student,117
90067,8003,Dakota Li,Student,109
90068,8006,Dakota Chen,VIP,402
90069,8020,Skyler Santos,VIP,401
90070,8002,Alex Chen,VIP,396
90071,8004,Casey Thompson,VIP,407
90072,8020,Reese Nguyen,Standard,172
90073,8007,Hayden Santos,VIP,412
90074,8002,Morgan Wilson,Student,105
90075,8015,Cameron Kumar,VIP,409
90076,8001,Casey Patel,VIP,415
90077,8014,Skyler Kumar,Standard,193
90078,8015,Casey Chen,Standard,182
90079,8010,Sage Kumar,Standard,190
90080,8020,Avery Kumar,VIP,417
90081,8009,Avery Thompson,Standard,181
90082,8016,Hayden Wilson,Standard,189
90083,8006,Quinn Chen,VIP,416
90084,8011,Finley Nguyen,VIP,410
90085,8015,Hayden Nguyen,Standard,176
90086,8015,Quinn Kim,VIP,410
90087,8011,Skyler Nguyen,VIP,416
90088,8004,Quinn Patel,Standard,186
90089,8020,Jordan Wilson,Standard,188
90090,8006,Finley Kim,Standard,189
90091,8013,Reese Santos,VIP,410
90092,8003,Casey Kim,VIP,399
90093,8012,Taylor Li,VIP,405
90094,8004,Dakota Chen,Standard,195
90095,8006,Rowan Nguyen,Standard,194
90096,8008,Jordan Park,Standard,181
90097,8002,Avery Nguyen,VIP,412
90098,8009,Jordan Li,VIP,398
90099,8004,Reese Chen,Student,111
90100,8009,Dakota Kumar,Standard,175
90101,8004,Dakota Chen,Student,104
90102,8019,Rowan Chen,VIP,415
90103,8002,Finley Chen,Student,101
90104,8001,Cameron Nguyen,Standard,175
90105,8015,Rowan Li,Standard,187
90106,8008,Quinn Santos,Student,100
90107,8008,Hayden Nguyen,Student,96
90108,8003,Quinn Nguyen,VIP,397
90109,8019,Rowan Nguyen,Student,98
90110,8009,Finley Kumar,Student,101
90111,8004,Cameron Kim,VIP,419
90112,8003,Quinn Kumar,Student,110
90113,8009,Reese Park,Student,111
90114,8012,Sage Santos,Standard,187
90115,8009,Rowan Kumar,Standard,170
90116,8011,Jordan Nguyen,VIP,415
90117,8015,Reese Wilson,VIP,419
90118,8004,Reese Thompson,Student,111
90119,8012,Finley Kim,Standard,194
90120,8002,Morgan Kumar,Student,104
90121,8017,Reese Thompson,Standard,190
90122,8008,Hayden Park,VIP,399
90123,8017,Jordan Kim,Standard,176
90124,8009,Taylor Chen,VIP,402
90125,8016,Skyler Thompson,Student,95
90126,8002,Taylor Santos,Standard,189
90127,8018,Casey Wilson,VIP,416
90128,8016,Sage Kumar,VIP,410
90129,8019,Rowan Thompson,Standard,188
90130,8014,Jordan Li,VIP,399
90131,8002,Dakota Patel,VIP,412
90132,8014,Reese Park,VIP,413
90133,8020,Hayden Wilson,Standard,186
90134,8011,Finley Nguyen,VIP,417
90135,8004,Alex Santos,Student,95
90136,8010,Sage Park,Student,110
90137,8016,Hayden Li,Standard,175
90138,8018,Cameron Thompson,Student,110
90139,8001,Jordan Patel,VIP,410
90140,8013,Quinn Li,Student,108
90141,8006,Sage Wilson,VIP,411
90142,8018,Hayden Chen,VIP,406
90143,8015,Morgan Kumar,Standard,177
90144,8009,Quinn Chen,Standard,193
90145,8019,Jordan Chen,VIP,401
90146,8011,Rowan Nguyen,Student,115
90147,8008,Avery Kim,Standard,188
90148,8003,Taylor Nguyen,Student,109
90149,8016,Jordan Park,Student,108
90150,8019,Rowan Chen,Student,117
90151,8012,Taylor Chen,VIP,402
90152,8008,Sage Chen,Student,115
90153,8008,Sage Santos,Standard,187
90154,8013,Quinn Park,Standard,184
90155,8001,Morgan Thompson,VIP,413
90156,8005,Avery Kumar,Student,95
90157,8009,Riley Nguyen,Student,109
90158,8002,Avery Thompson,Standard,187
90159,8013,Casey Nguyen,Standard,193
90160,8003,Finley Wilson,Standard,187
90161,8013,Avery Chen,Student,107
90162,8001,Casey Patel,Standard,181
90163,8006,Taylor Nguyen,Student,112
90164,8004,Taylor Thompson,Standard,181
90165,8007,Rowan Nguyen,Student,101
90166,8018,Jordan Santos,Student,99
90167,8007,Quinn Chen,VIP,396
90168,8020,Rowan Chen,VIP,401
90169,8008,Casey Nguyen,VIP,408
90170,8006,Taylor Nguyen,Student,110
90171,8003,Morgan Kumar,VIP,406
90172,8004,Casey Li,Student,98
90173,8007,Quinn Santos,VIP,415
90174,8013,Riley Patel,VIP,411
90175,8002,Alex Thompson,Standard,194
90176,8011,Alex Wilson,Standard,195
90177,8005,Sage Wilson,Standard,178
90178,8001,Avery Thompson,Student,106
90179,8008,Reese Wilson,VIP,404
90180,8003,Alex Chen,Standard,182
90181,8008,Riley Chen,Student,119
90182,8013,Reese Li,Student,108
90183,8004,Jordan Thompson,Student,117
90184,8001,Morgan Chen,Standard,189
90185,8016,Rowan Chen,VIP,400
90186,8009,Rowan Santos,VIP,398
90187,8010,Quinn Li,VIP,417
90188,8019,Morgan Chen,VIP,415
90189,8012,Dakota Wilson,Standard,178
90190,8011,Hayden Kim,Standard,190
90191,8011,Hayden Kim,Standard,180
90192,8005,Finley Santos,VIP,396
90193,8005,Quinn Park,VIP,398
90194,8007,Riley Thompson,VIP,396
90195,8002,Casey Chen,Standard,182
90196,8007,Alex Santos,VIP,396
90197,8016,Alex Kumar,VIP,420
90198,8009,Alex Li,VIP,400
90199,8019,Taylor Nguyen,Standard,189
90200,8012,Finley Thompson,VIP,402
90201,8014,Hayden Park,Standard,182
90202,8008,Jordan Park,VIP,412
90203,8017,Reese Li,Student,104
90204,8015,Dakota Kim,Standard,173
90205,8013,Cameron Kim,Standard,182
90206,8014,Avery Kumar,VIP,401
90207,8020,Casey Li,VIP,405
90208,8007,Cameron Kumar,VIP,419
90209,8008,Taylor Patel,VIP,395
90210,8011,Skyler Kumar,Standard,173
90211,8006,Finley Wilson,Standard,194
90212,8006,Casey Santos,VIP,409
90213,8011,Cameron Patel,Standard,173
90214,8011,Sage Kumar,Student,105
90215,8017,Skyler Chen,VIP,402
90216,8012,Hayden Patel,VIP,414
90217,8001,Skyler Kumar,Standard,184
90218,8014,Casey Nguyen,Student,110
90219,8010,Reese Thompson,VIP,418
90220,8004,Riley Wilson,Standard,176
90221,8003,Riley Santos,Standard,183
90222,8020,Skyler Wilson,VIP,418
90223,8015,Jordan Wilson,Standard,172
90224,8018,Jordan Kumar,Standard,177
90225,8015,Alex Patel,VIP,413
90226,8008,Avery Park,Student,109
90227,8009,Quinn Park,Standard,177
90228,8001,Quinn Nguyen,VIP,416
90229,8010,Finley Kim,Student,96
90230,8003,Morgan Kim,Student,109
90231,8008,Dakota Patel,Student,95
90232,8012,Jordan Li,Student,112
90233,8002,Rowan Wilson,Student,118
90234,8006,Sage Wilson,VIP,408
90235,8008,Reese Thompson,Standard,182
90236,8013,Alex Wilson,VIP,418
90237,8019,Finley Park,VIP,413
90238,8019,Sage Li,VIP,417
90239,8010,Finley Nguyen,VIP,399
90240,8016,Cameron Li,VIP,400
90241,8020,Sage Patel,VIP,416
90242,8003,Riley Patel,Standard,186
90243,8007,Casey Kumar,Standard,194
90244,8003,Dakota Santos,Student,99
90245,8001,Hayden Santos,Standard,190
90246,8010,Jordan Park,VIP,397
90247,8009,Casey Li,VIP,407
90248,8003,Avery Nguyen,VIP,410
90249,8003,Quinn Li,VIP,412
90250,8011,Morgan Patel,Standard,173
90251,8018,Casey Kim,Standard,176
90252,8006,Alex Li,VIP,402
90253,8001,Avery Kumar,Student,115
90254,8014,Jordan Chen,Student,107
90255,8007,Alex Patel,Standard,194
90256,8013,Casey Nguyen,VIP,403
90257,8016,Finley Patel,VIP,419
90258,8018,Jordan Patel,VIP,409
90259,8004,Avery Li,Standard,181
90260,8005,Finley Patel,Standard,185
90261,8019,Avery Nguyen,VIP,398
90262,8012,Reese Chen,Student,100
90263,8020,Rowan Li,Student,108
90264,8004,Hayden Wilson,Standard,192
90265,8002,Quinn Nguyen,VIP,407
90266,8006,Hayden Santos,VIP,413
90267,8008,Reese Li,Standard,190
90268,8001,Quinn Li,Standard,186
90269,8009,Finley Kim,Student,98
90270,8016,Taylor Thompson,VIP,407
90271,8014,Riley Kumar,Student,103
90272,8009,Skyler Chen,VIP,403
90273,8017,Finley Patel,Student,100
90274,8006,Sage Thompson,Standard,195
90275,8017,Alex Chen,Standard,192
90276,8017,Avery Chen,VIP,417
90277,8001,Skyler Kumar,Student,115
90278,8006,Reese Santos,Standard,193
90279,8020,Skyler Li,VIP,416
90280,8012,Sage Park,Student,120
90281,8004,Cameron Park,Standard,173
90282,8009,Riley Kumar,Student,112
90283,8008,Morgan Thompson,Student,110
90284,8013,Morgan Santos,Student,109
90285,8011,Skyler Wilson,VIP,395
90286,8010,Finley Nguyen,VIP,404
90287,8015,Morgan Park,VIP,398
90288,8003,Alex Chen,Standard,173
90289,8011,Casey Santos,Student,95
90290,8002,Alex Wilson,VIP,396
90291,8012,Riley Patel,Student,97
90292,8004,Quinn Wilson,Standard,185
90293,8014,Casey Li,Student,99
90294,8007,Reese Patel,VIP,409
90295,8006,Skyler Santos,VIP,415
90296,8014,Jordan Park,Student,101
90297,8019,Quinn Park,Student,120
90298,8017,Cameron Kim,VIP,404
90299,8015,Morgan Wilson,Student,116
90300,8012,Dakota Patel,Student,98
90301,8014,Sage Li,VIP,410
90302,8003,Riley Kim,VIP,399
90303,8016,Rowan Kumar,Student,108
90304,8019,Finley Li,VIP,412
90305,8007,Avery Santos,Standard,193
90306,8018,Rowan Li,VIP,413
90307,8008,Quinn Nguyen,Student,120
90308,8011,Dakota Li,Student,114
90309,8020,Morgan Patel,Standard,193
90310,8007,Finley Kim,Student,114
90311,8010,Taylor Nguyen,Standard,193
90312,8017,Dakota Thompson,Student,118
90313,8004,Finley Thompson,Student,114
90314,8014,Quinn Kim,Standard,175
90315,8008,Riley Patel,Student,96
90316,8020,Rowan Kumar,Student,102
90317,8017,Avery Thompson,Student,119
90318,8001,Alex Patel,Student,99
90319,8008,Reese Thompson,Student,99
90320,8016,Casey Wilson,VIP,417
90321,8010,Hayden Santos,VIP,404
90322,8002,Rowan Kim,VIP,400
90323,8018,Alex Kim,Standard,174
90324,8019,Riley Li,Standard,174
90325,8019,Quinn Chen,Student,117
90326,8004,Dakota Patel,Standard,193
90327,8002,Rowan Santos,Student,113
90328,8018,Riley Santos,Standard,189
90329,8010,Morgan Kim,VIP,415
90330,8004,Reese Li,Standard,186
90331,8018,Dakota Patel,Student,118
90332,8012,Reese Patel,Student,109
90333,8005,Rowan Park,VIP,401
90334,8004,Riley Kumar,Student,110
90335,8008,Casey Chen,VIP,419
90336,8018,Riley Chen,Standard,174
90337,8004,Dakota Santos,Student,96
90338,8012,Rowan Chen,Standard,177
90339,8006,Finley Santos,Standard,173
90340,8006,Sage Kumar,Student,107
90341,8001,Jordan Kim,Standard,176
90342,8020,Sage Li,Student,116
90343,8019,Sage Kim,VIP,416
90344,8010,Morgan Kumar,Standard,190
90345,8003,Casey Santos,Student,120
90346,8006,Finley Patel,Student,113
90347,8015,Skyler Li,Standard,192
90348,8009,Alex Nguyen,VIP,405
90349,8006,Rowan Chen,VIP,399
90350,8013,Morgan Kim,Student,101
